38.17,1.58,70000
37.36,1.54,67932
38.01,1.48,65864
37.85,1.79,63796
37.84,1.77,61728
38.04,2.02,59660
38.05,2.16,57592
38.34,2.29,55524
38.25,2.64,53456
38.59,2.49,51388
38.33,2.48,49320
38.42,2.78,47252
38.53,3.02,45184
38.65,3,43116
38.86,3.21,41048
38.81,3.35,38980
39.01,3.67,36912
39.09,3.86,34844
39.21,4.01,32776
39.2,4.26,30708
39.41,4.54,28640
39.52,4.84,26572
39.56,5.23,24504
39.79,5.64,22436
40.05,6.16,20368
40.28,6.7,18300
40.59,7.39,16232
40.93,8.29,14164
41.44,9.32,12096
42.06,10.88,10000
