40.82,2.38,70000
41.15,2.13,67932
41.33,1.95,65864
41.2,1.84,63796
41.37,2.67,61728
41.25,2.46,59660
41.55,2.32,57592
41.94,2.81,55524
41.61,2.87,53456
42.02,2.95,51388
42.22,3.06,49320
42.16,3.16,47252
42.42,3.32,45184
42.46,3.59,43116
42.58,3.79,41048
42.85,3.85,38980
43.01,4.19,36912
43.12,4.42,34844
43.22,4.63,32776
43.41,4.91,30708
51.42,6.5,28640
51.26,6.92,26572
51.56,7.49,24504
51.58,8.15,22436
51.72,8.69,20368
52.18,9.61,18300
52.41,10.63,16232
52.81,11.87,14164
53.37,13.39,12096
54.16,15.59,10000
