13.24,-39.04,80000
21.4,0.36,77587
21.63,0.84,75174
21.71,0.81,72761
21.76,1.09,70348
21.95,0.96,67935
21.97,1.01,65522
22.05,1.01,63109
22.02,0.98,60696
22.39,1.22,58283
22.29,1.37,55870
22.19,1.34,53457
22.29,1.46,51044
22.29,1.61,48631
22.66,1.7,46218
22.63,1.81,43805
22.65,1.97,41392
22.75,2.15,38979
22.75,2.04,36566
22.92,2.4,34153
23,2.6,31740
23.1,2.82,29327
23.2,3.06,26914
23.37,3.36,24501
23.51,3.66,22088
23.7,3.97,19675
23.9,4.45,17262
24.19,4.98,14849
24.52,5.76,12436
25.08,6.78,10000
