24.36,-17.15,80000
19.09,1.63,77957
19.06,1.52,75914
18.96,1.46,73871
19.27,1.68,71828
19.23,1.69,69785
19.26,1.9,67742
19.55,1.91,65699
19.31,1.87,63656
19.43,1.9,61613
19.54,2.21,59570
19.76,2.2,57527
19.79,2.27,55484
19.94,2.31,53441
19.95,2.44,51398
19.95,2.56,49355
20.01,2.65,47312
20.16,2.77,45269
20.22,2.93,43226
20.41,3.08,41183
20.45,3.24,39140
20.55,3.42,37097
20.62,3.57,35054
20.79,3.72,33011
20.88,3.94,30968
21.03,4.12,28925
21.23,4.39,26882
21.37,4.63,24839
21.6,4.97,22796
21.8,5.34,20753
22.08,5.73,18710
22.42,6.22,16667
22.72,6.8,14624
23.19,7.51,12581
23.78,8.5,10538
24.58,9.8,8495
25.74,11.76,6452
27.73,15.03,4409
32.08,22.54,2366
60.42,98.44,300
