-3343.95,-2369.43,80000
0,0,77259
0,0,74518
0,0,71777
0,0,69036
0,0,66295
0,0,63554
0,0,60813
0,0,58072
99000,-7000,55331
41000,-104000,52590
92000,-86000,49849
0,0,47108
23000,-155000,44367
98000,-143000,41626
167000,-94000,38885
210000,-11000,36144
151000,-60000,33403
192000,-160000,30662
263000,-61000,27921
176500,-105500,25180
219000,-14000,22439
307000,-118000,19698
192000,-153000,16957
252000,-48000,14216
254500,79500,11475
388000,2000,8734
269000,-80000,5993
279000,57000,3252
403000,-37000,500
