373.81,-269.45, 80000
364.3175,-197.11249999999998, 59823
357.75312499999995,-141.606875, 44734
353.32734374999995,-98.48265625, 33452
350.8555078125,-64.4144921875, 25015
350.03413085937495,-36.643369140625, 18706
350.6880981445312,-13.127526855468748, 13988
352.62357360839843,7.87935485839844, 10460
355.91018020629883,27.91951614379883, 7822
360.43763515472415,48.18213710784912, 5849
366.2982263660431,69.94660283088685, 4373
373.6811697745323,94.77745212316515, 3270
382.87337733089925,123.98058909237386, 2445
394.18753299817445,159.2779418192804, 1828
408.5931497486308,203.09595636446028, 1367
426.5173623114731,257.5969672733452, 1022
449.01052173360483,325.53272545500886, 764
477.4303913002036,410.78204409125664, 571
514.3977934751526,518.8890330684425, 427
559.9033451063644,655.0117748013319, 319
617.1725088297733,825.1788311009989, 239
698.7018816223299,1034.4241233257492, 178
788.9764112167475,1317.693092494312, 133
880.4048084125606,1626.054819370734, 100
