100,93764.706,-23441.176,96650.44657697869,14.03624346792647
138,94575.36775,-20182.904,97104.6859196318,12.09422293205419
192,95394.07178125001,-17222.540999999997,97614.79398909683,10.334663591670223
266,95977.50505859376,-16008.184874999997,97955.79437373992,9.579193809285856
370,96501.47080126953,-14712.931015624998,98252.3488963081,8.785060676255373
513,96969.55620111084,-13252.660763671873,98507.30008636946,7.9033920152109705
711,97371.43855097199,-11536.46279321289,98717.10639564444,6.881374114583818
987,97694.23948210049,-9390.558819061278,98891.50828803248,5.618167978338721
1369,97714.07717183793,-8165.2683416786185,98761.79569260174,4.885759613347605
1898,98700.24852535818,-7926.937423968791,99640.16438675678,4.699000245056891
2633,98828.10208468842,-7434.147120972692,99660.47526610456,4.397642590967572
3652,99294.26144910237,-6896.272230851106,100028.56135337306,4.066529329910428
5065,99616.08526796458,-5464.566076994717,100271.33427918682,3.2380165738401168
7025,98622.97873446901,-4046.906317370378,99219.84339006741,2.374763665706816
9743,98120.10639266038,-2691.043027699081,98672.8732885178,1.5639880577336156
13513,97502.63409357783,-2356.711774236696,97986.30529131828,1.3697495738042542
18742,98895.8859568806,-1075.6363024571087,99354.87869631882,0.6792200351268034
25993,97949.44071227052,315.5749853500299,98420.03031507797,-0.1909939802842202
36051,98487.0106232367,1526.1281121812763,98959.75575439412,-0.8653366957787765
49999,96769.88429533211,1991.6120981586168,97203.84314969662,-1.20026541575579
