410.6,-294.67, 80000
400.55500000000006,-215.1225, 59823
393.7012500000001,-153.99437500000002, 44734
389.5534375000001,-106.33078125000003, 33452
387.65257812500005,-68.32058593750003, 25015
387.75443359375004,-37.23293945312502, 18706
389.68332519531253,-10.992204589843762, 13988
393.3149938964844,12.25584655761718, 10460
398.6187454223633,33.81938491821289, 7822
405.55405906677254,54.98453868865967, 5849
414.19304430007946,77.22590401649475, 4373
424.4522832250596,101.75442801237106, 3270
436.63421241879473,130.1033210092783, 2445
451.15065931409606,163.88749075695873, 1828
469.237994485572,204.98311806771903, 1367
491.78349586417903,255.8448385507893, 1022
519.8951218981342,317.803628913092, 764
556.4463414236006,394.945221684819, 571
602.6472560677005,489.06891626361426, 427
661.9929420507754,605.8091871977107, 319
739.9772065380815,741.861890398283, 239
833.0279049035612,906.3989177987123, 178
951.2209286776708,1113.6591883490341, 133
1101.9656965082531,1319.3868912617756, 100
